Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%),Thumbnail Color,Genre,Fandom 
Oh Saturday Sun (I Met Someone)Ch 1/Miraculous Ladybug Fanfiction|Adrienette AU High School Fluff,1-Jan-22,751,11,0.5555,0,0.056,237,1.69,,,
Next To You Starstruck Chapter 11 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,28-May-21,1253,9,2.2987,0,0.025,141,0.71,,,
Music in the Cafe - Day Eighteen//A Lukanette Month Long Fanfiction,18-Jun-20,1767,9,0.0125,0,0.021,26,0,,,
Next To You Starstruck Chapter 10 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,26-May-21,1424,9,1.7881,0,0.045,140,2.14,,,
On The Trail Of Petals Chapter 1 A Hanahaki AU Adrientte Miraculous Ladybug Fanfiction Love Story,27-Jan-21,1312,8,0.3967,0,0.003,97,2.06,,,
Next To You Starstruck Chapter 7 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,16-May-21,1410,8,2.158,0,0.034,133,0.75,,,
And Right There Where We Stood Ch.1:7 - A Ladynoir Miraculous Ladybug Fanfiction (aged-up),11-Sep-21,1123,8,0.6977,0,0.046,332,1.2,,,
Next To You Starstruck Chapter 6 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,14-May-21,1377,8,1.7904,0,0.026,176,0.57,,,
Tossing Rocks At Your Window Ch.1 - A Marichat Miraculous Ladybug Fanfiction,4-Aug-21,1011,8,0.5169,0,0.025,276,1.45,,,
It's Been So Long Part 2 An Adrienette Miraculous Ladybug Fanfiction,24-Jul-19,1139,8,0.6119,0,0.003,90,2.22,,,
Next To You Starstruck Chapter 8 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,20-May-21,1010,7,1.5368,0,0.022,165,0.61,,,
Music in the Cafe - Day Seventeen//A Lukanette Month Long Fanfiction,17-Jun-20,733,7,0.0075,0,0.022,22,0,,,
Next To You Starstruck Chapter 13 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,3-Jun-21,1534,7,1.2775,0,0.034,129,1.55,,,
In The Bright Moonlight (You're My Sun)//Day 2 -  Ladynoir July Miraculous Ladybug Fanfiction,2-Jul-21,730,7,0.5208,0,0.038,168,2.98,,,
It's Been So Long Part 12 An Adrienette Miraculous Ladybug Fanfiction,24-Mar-20,1088,7,0.5508,0,0,106,3.77,,,
Music in the Cafe - Day Sixteen//A Lukanette Month Long Fanfiction,16-Jun-20,938,6,0.009,0,0.004,23,0,,,
